brand_id,brand_name,canonical_candidate,official_domain,vertical_l1,vertical_l2,domain_entity_type,strong_evidence,clean_score,source_name_invalid,kb_matched,canonical_confirmed,site_consensus_count,reasons
brand_huffingtonpost-co-uk_3605366c,Huffingtonpost,Huffingtonpost,huffingtonpost.co.uk,home_improvement,home_decor,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_digital-com_12ddd837,Digital,Digital,digital.com,fashion,apparel,commercial,false,0.822,false,false,false,0,generic_brand_name
brand_timeshighereducation-com_99450b7e,Timeshighereducation,Timeshighereducation,timeshighereducation.com,sports_outdoor,fitness,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_dallasnews-com_e97ec77e,Dallasnews,Dallasnews,dallasnews.com,gaming_entertainment,gaming,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_express-co-uk_f40896fc,Express,Express,express.co.uk,consumer_electronics,laptop,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_timesonline-co-uk_a2415527,Timesonline,Timesonline,timesonline.co.uk,local_services,food_delivery,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_rb-gy_cf8fd7b1,Rb,Rb,rb.gy,mobility,automotive,shortlink,false,0.822,false,false,false,0,domain_type_blocked:shortlink
brand_wikimapia-org_1111c9ed,Wikimapia,Wikimapia,wikimapia.org,pet,pet_supplies,commercial,false,0.822,false,false,false,0,brand_name_noise
brand_channelnewsasia-com_03f62110,Channelnewsasia,Channelnewsasia,channelnewsasia.com,education,online_learning,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_dictionary-com_aa6ffdc2,Dictionary,Dictionary,dictionary.com,fashion,apparel,commercial,false,0.822,false,false,false,0,brand_name_noise
brand_discovermagazine-com_2e7cfe72,Discovermagazine,Discovermagazine,discovermagazine.com,finance,digital_banking,publisher,false,0.822,false,false,false,0,publisher_not_allowed
brand_medicalxpress-com_e26f5579,Medicalxpress,Medicalxpress,medicalxpress.com,pet,pet_supplies,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_sandiegouniontribune-com_277f0ae2,Sandiegouniontribune,Sandiegouniontribune,sandiegouniontribune.com,sports_outdoor,fitness,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_voanews-com_d46729e2,Voanews,Voanews,voanews.com,beauty_personal_care,cosmetics,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_worldpopulationreview-com_76a9895b,Worldpopulationreview,Worldpopulationreview,worldpopulationreview.com,sports_outdoor,fitness,commercial,false,0.687,false,false,false,0,low_cleaning_score
brand_is-gd_1ea9b8ea,Is,Is,is.gd,consumer_electronics,laptop,shortlink,false,0.822,false,false,false,0,domain_type_blocked:shortlink
brand_digitaljournal-com_e6a14252,Digitaljournal,Digitaljournal,digitaljournal.com,mobility,automotive,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_wikiwand-com_5f01cfe1,Wikiwand,Wikiwand,wikiwand.com,home_appliance,kitchen_appliance,commercial,false,0.822,false,false,false,0,brand_name_noise
brand_gulfnews-com_1a03bdeb,Gulfnews,Gulfnews,gulfnews.com,b2b_services,business_service,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_nydailynews-com_4570a390,Nydailynews,Nydailynews,nydailynews.com,consumer_electronics,laptop,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_buzzfeednews-com_3d0ff518,Buzzfeednews,Buzzfeednews,buzzfeednews.com,gaming_entertainment,gaming,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_thedailybeast-com_b8e6d327,Thedailybeast,Thedailybeast,thedailybeast.com,consumer_electronics,smartphone,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_businessnewsdaily-com_8a5051be,Businessnewsdaily,Businessnewsdaily,businessnewsdaily.com,developer_tools,dev_platform,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_gov-pl_e16b6be7,Gov,Gov,gov.pl,education,online_learning,institution,false,0.822,false,false,false,0,domain_type_blocked:institution|generic_brand_name
brand_nationalreview-com_e223ad17,Nationalreview,Nationalreview,nationalreview.com,baby_parenting,baby_products,commercial,false,0.687,false,false,false,0,low_cleaning_score
brand_helpguide-org_cad2ab90,Helpguide,Helpguide,helpguide.org,local_services,food_delivery,commercial,false,0.687,true,false,false,0,polluted_source_name|brand_name_noise|low_cleaning_score
brand_financialexpress-com_40e76802,Financialexpress,Financialexpress,financialexpress.com,travel_hospitality,hotel_booking,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_post-gazette-com_8eec7311,Post Gazette,Post Gazette,post-gazette.com,developer_tools,dev_platform,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_vaticannews-va_eae733be,Vaticannews,Vaticannews,vaticannews.va,home_appliance,kitchen_appliance,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_cafepress-com_ae1c9e50,Cafepress,Cafepress,cafepress.com,food_beverage,snacks,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_ardmediathek-de_96c359b2,Ardmediathek,Ardmediathek,ardmediathek.de,b2b_services,business_service,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_globalnews-ca_7676f1d2,Globalnews,Globalnews,globalnews.ca,fashion,footwear,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_wikispaces-com_18d7a3ac,Wikispaces,Wikispaces,wikispaces.com,art_culture,craft,commercial,false,0.822,false,false,false,0,brand_name_noise
brand_annualreviews-org_79c623da,Annualreviews,Annualreviews,annualreviews.org,finance,digital_banking,commercial,false,0.687,false,false,false,0,low_cleaning_score
